Fecha,Tasa_de_cambio,PIB,Inflacion,desempleo
2005-04-30,2350.01,,5.01,12.02
2005-05-31,2339.22,,5.04,12.49
2005-06-30,2331.79,128616.9,4.83,11.54
2005-07-31,2323.38,128616.9,4.91,12.05
2005-08-31,2306.19,128616.9,4.88,11.72
2005-09-30,2294.52,128679.0,5.02,11.33
2005-10-31,2292.55,128679.0,5.27,9.9
2005-11-30,2279.85,128679.0,5.1,10.28
2005-12-31,2278.91,131249.9,4.85,10.27
2006-01-31,2273.66,131249.9,4.56,13.37
2006-02-28,2256.24,131249.9,4.19,13.08
2006-03-31,2262.36,134085.7,4.11,11.37
2006-04-30,2334.29,134085.7,4.12,12.06
2006-05-31,2417.99,134085.7,4.04,11.87
2006-06-30,2542.24,135784.9,3.94,10.48
2006-07-31,2511.74,135784.9,4.32,12.3
2006-08-31,2389.65,135784.9,4.72,13.04
2006-09-30,2398.88,138548.5,4.58,12.91
2006-10-31,2364.29,138548.5,4.19,11.36
2006-11-30,2290.46,138548.5,4.31,11.0
2006-12-31,2261.34,141015.9,4.48,11.84
2007-01-31,2237.06,141015.9,4.71,14.28
2007-02-28,2227.63,141015.9,5.25,12.86
2007-03-31,2201.39,143183.6,5.78,12.03
2007-04-30,2144.6,143183.6,6.26,10.81
2007-05-31,2007.91,143183.6,6.23,11.7
2007-06-30,1923.76,144977.6,6.03,11.2
2007-07-31,1950.87,144977.6,5.77,11.35
2007-08-31,2058.28,144977.6,5.22,10.86
2007-09-30,2117.05,148062.9,5.0,10.87
2007-10-31,2003.26,148062.9,5.16,10.21
2007-11-30,2047.72,148062.9,5.41,9.49
2007-12-31,2014.2,150232.9,5.69,9.92
2008-01-31,1980.59,150232.9,6.0,13.3
2008-02-29,1903.27,150232.9,6.35,12.19
2008-03-31,1846.9,150944.0,5.93,11.34
2008-04-30,1796.13,150944.0,5.73,11.08
2008-05-31,1778.01,150944.0,6.39,10.81
2008-06-30,1712.28,151168.2,7.18,11.41
2008-07-31,1783.09,151168.2,7.52,12.21
2008-08-31,1844.29,151168.2,7.87,11.43
2008-09-30,2066.04,152912.8,7.57,11.05
2008-10-31,2289.17,152912.8,7.94,10.18
2008-11-30,2329.16,152912.8,7.73,10.91
2008-12-31,2252.72,150688.0,7.67,10.77
2009-01-31,2252.98,150688.0,7.18,14.47
2009-02-28,2513.74,150688.0,6.47,12.77
2009-03-31,2477.21,150782.2,6.14,12.19
2009-04-30,2379.36,150782.2,5.73,12.12
2009-05-31,2229.95,150782.2,4.77,11.76
2009-06-30,2090.04,152386.3,3.81,11.6
