Fecha,Índice COLCAP
2008-01-15,980.21
2008-01-16,958.99
2008-01-17,928.38
2008-01-18,903.49
2008-01-21,832.37
2008-01-22,879.67
2008-01-23,890.89
2008-01-24,933.79
2008-01-25,939.61
2008-01-28,930.97
2008-01-29,946.51
2008-01-30,936.55
2008-01-31,937.33
2008-02-01,938.16
2008-02-04,945.18
2008-02-05,920.47
2008-02-06,900.89
2008-02-07,891.3
2008-02-08,906.03
2008-02-11,920.78
2008-02-12,915.74
2008-02-13,918.85
2008-02-14,928.67
2008-02-15,929.63
2008-02-18,944.25
2008-02-19,945.4
2008-02-20,941.38
2008-02-21,944.38
2008-02-22,940.05
2008-02-25,938.49
2008-02-26,938.58
2008-02-27,935.15
2008-02-28,931.03
2008-02-29,914.9
2008-03-03,896.73
2008-03-04,859.79
2008-03-05,897.61
2008-03-06,889.83
2008-03-07,900.79
2008-03-10,907.83
2008-03-11,911.72
2008-03-12,914.89
2008-03-13,912.74
2008-03-14,902.13
2008-03-17,890.57
2008-03-18,899.67
2008-03-19,902.56
2008-03-25,895.08
2008-03-26,891.73
2008-03-27,887.89
2008-03-28,890.03
2008-03-31,889.28
2008-04-01,913.73
2008-04-02,919.3
2008-04-03,923.04
2008-04-04,922
2008-04-07,928.32
2008-04-08,930.57
2008-04-09,936.53
2008-04-10,922.05
2008-04-11,917.73
2008-04-14,917.57
2008-04-15,931.61
2008-04-16,936.55
2008-04-17,934.66
2008-04-18,952.82
2008-04-21,953.25
2008-04-22,950.97
2008-04-23,942.21
2008-04-24,949.52
2008-04-25,953.07
2008-04-28,962.4
2008-04-29,969.11
2008-04-30,985.95
2008-05-02,1012.31
2008-05-06,1032.08
2008-05-07,1010.96
2008-05-08,1001.24
2008-05-09,1008.49
2008-05-12,1010.27
2008-05-13,1015.63
2008-05-14,1027.74
2008-05-15,1024.58
2008-05-16,1016.11
2008-05-19,1016.1
2008-05-20,1009.48
2008-05-21,1015.6
2008-05-22,1008.67
2008-05-23,1003.07
2008-05-27,999.5
2008-05-28,1000.23
2008-05-29,1010.15
2008-05-30,1019.78
2008-06-03,1004.8
2008-06-04,1015.92
2008-06-05,1015.36
2008-06-06,1013.73
2008-06-09,1004.28
2008-06-10,990.5
2008-06-11,989.39
2008-06-12,990.29
2008-06-13,991.85
2008-06-16,991.66
2008-06-17,979.84
